Date,Pig_ID,Training_Area,Signal_type,Status,Cause,Notes
5/16/2021,MS02,TA21,Normal,0,Survive,
5/16/2021,FS02,TA21,Normal,0,Survive,
5/16/2021,FS03,TA21,Normal,0,Survive,
5/16/2021,MS03,TA21,Normal,0,Survive,
5/16/2021,MS04,TA21,Normal,0,Survive,
5/16/2021,MS05,TA21,Normal,0,Survive,
5/16/2021,US01,TA21,Normal,0,Survive,
5/16/2021,MJ01,TA21,Normal,0,Survive,
5/16/2021,MJ02,TA21,Normal,0,Survive,
5/16/2021,MS06,TA21,Normal,0,Survive,
5/16/2021,MJ03,TA21,Normal,0,Survive,
5/16/2021,FJ01,TA21,Normal,0,Survive,
5/16/2021,MJ05,TA21,Normal,0,Survive,
5/16/2021,FJ02,TA21,Normal,0,Survive,
5/16/2021,FJ03,TA21,Normal,0,Survive,
5/16/2021,MJ06,TA21,Normal,0,Survive,
5/16/2021,FJ04,TA21,Normal,0,Survive,
5/16/2021,MJ07,TA21,Normal,0,Survive,
5/16/2021,MJ08,TA21,Normal,0,Survive,
5/17/2021,FS01,TA09,Normal,0,Survive,
5/18/2021,MS01,TA09,Normal,0,Survive,
5/19/2021,MS02,TA21,Normal,0,Survive,
5/19/2021,FS02,TA21,Normal,0,Survive,
5/19/2021,FS03,TA21,Normal,0,Survive,
5/19/2021,MS03,TA21,Normal,0,Survive,
5/19/2021,MS04,TA21,Normal,0,Survive,
5/19/2021,MS05,TA21,Normal,0,Survive,
5/19/2021,US01,TA21,Normal,0,Survive,
5/19/2021,MJ01,TA21,Normal,0,Survive,
5/19/2021,MJ02,TA21,Normal,0,Survive,
5/19/2021,MS06,TA21,Normal,0,Survive,
5/19/2021,MJ03,TA21,Normal,0,Survive,
5/19/2021,FJ01,TA21,Normal,0,Survive,
5/19/2021,MJ05,TA21,Normal,0,Survive,
5/19/2021,FJ02,TA21,Normal,0,Survive,
5/19/2021,FJ03,TA21,Normal,0,Survive,
5/19/2021,MJ06,TA21,Normal,0,Survive,
5/19/2021,FJ04,TA21,Normal,0,Survive,
5/19/2021,MJ07,TA21,Mortality,1,Lion,Mortality
5/19/2021,MJ08,TA21,Normal,0,Survive,
5/22/2021,MS02,TA21,Normal,0,Survive,
5/22/2021,FS02,TA21,Normal,0,Survive,
5/22/2021,FS03,TA21,Normal,0,Survive,
5/22/2021,MS03,TA21,Normal,0,Survive,
5/22/2021,MS04,TA21,Normal,0,Survive,
5/22/2021,MS05,TA21,Normal,0,Survive,
5/22/2021,US01,TA21,Normal,0,Survive,
5/22/2021,MJ01,TA21,Normal,0,Survive,
5/22/2021,MJ02,TA21,Normal,0,Survive,
5/22/2021,MS06,TA21,Normal,0,Survive,
5/22/2021,MJ03,TA21,Normal,0,Survive,
5/22/2021,MJ04,TA21,Normal,0,Survive,
5/22/2021,FJ01,TA21,Normal,0,Survive,
5/22/2021,MJ05,TA21,Normal,0,Survive,
5/22/2021,FJ02,TA21,Normal,0,Survive,
5/22/2021,FJ03,TA21,Normal,0,Survive,
5/22/2021,MJ06,TA21,Normal,0,Survive,
5/22/2021,FJ04,TA21,Normal,0,Survive,
5/22/2021,MJ08,TA21,Normal,0,Survive,
5/23/2021,MS01,TA9,Normal,0,Survive,
5/23/2021,FS01,TA9,Normal,0,Survive,
5/28/2021,FS01,TA9,Normal,0,Survive,
5/28/2021,MS02,TA21,Normal,0,Survive,
5/28/2021,FS02,TA21,Normal,0,Survive,
5/28/2021,FS03,TA21,Normal,0,Survive,
5/28/2021,MS03,TA21,Normal,0,Survive,
5/28/2021,MS04,TA21,Normal,0,Survive,
5/28/2021,MS05,TA21,Normal,0,Survive,
5/28/2021,US01,TA21,Normal,0,Survive,
5/28/2021,MJ01,TA21,Normal,0,Survive,
5/28/2021,MJ02,TA21,Normal,0,Survive,
5/28/2021,MS06,TA21,Normal,0,Survive,
5/28/2021,MJ03,TA21,Normal,0,Survive,
5/28/2021,MJ04,TA21,Normal,0,Survive,
5/28/2021,FJ01,TA21,Normal,0,Survive,
5/28/2021,MJ05,TA21,Normal,0,Survive,
5/28/2021,FJ02,TA21,Normal,0,Survive,
5/28/2021,FJ03,TA21,Normal,0,Survive,
5/28/2021,MJ06,TA21,Normal,0,Survive,
5/28/2021,FJ04,TA21,Normal,0,Survive,
5/28/2021,MJ08,TA21,Normal,0,Survive,
6/2/2021,MS01,TA12A,Normal,0,Survive,
6/2/2021,FS01,TA12A,Normal,0,Survive,
6/2/2021,MS02,TA21,Normal,0,Survive,
6/2/2021,FS02,TA21,Normal,0,Survive,
6/2/2021,FS03,TA21,Normal,0,Survive,
6/2/2021,MS03,TA21,Normal,0,Survive,
6/2/2021,MS05,TA21,Normal,0,Survive,
6/2/2021,US01,TA21,Normal,0,Survive,
6/2/2021,MJ01,TA21,Normal,0,Survive,
6/2/2021,MJ02,TA21,Normal,0,Survive,
6/2/2021,MS06,TA21,Normal,0,Survive,
6/2/2021,MJ03,TA21,Mortality,0,Dropped tag,Dropped tag
6/2/2021,MJ04,TA21,Normal,0,Survive,
6/2/2021,FJ01,TA21,Normal,0,Survive,
6/2/2021,MJ05,TA21,Normal,0,Survive,
6/2/2021,FJ02,TA21,Normal,0,Survive,
6/2/2021,FJ03,TA21,Normal,0,Survive,
6/2/2021,MJ06,TA21,Normal,0,Survive,
6/2/2021,FJ04,TA21,Normal,0,Survive,
6/2/2021,MJ08,TA21,Normal,0,Survive,
6/6/2021,FS01,TA9,Normal,0,Survive,
6/6/2021,MS02,TA21,Normal,0,Survive,
6/6/2021,FS02,TA21,Normal,0,Survive,
6/6/2021,FS03,TA21,Normal,0,Survive,
6/6/2021,MS03,TA21,Normal,0,Survive,
6/6/2021,MS04,TA21,Normal,0,Survive,
6/6/2021,MS05,TA21,Normal,0,Survive,
6/6/2021,US01,TA21,Normal,0,Survive,
6/6/2021,MJ01,TA21,Normal,0,Survive,
6/6/2021,MJ02,TA21,Normal,0,Survive,
6/6/2021,MS06,TA21,Normal,0,Survive,
6/6/2021,MJ04,TA21,Normal,0,Survive,
6/6/2021,FJ01,TA21,Normal,0,Survive,
6/6/2021,FJ02,TA21,Normal,0,Survive,
6/6/2021,FJ03,TA21,Normal,0,Survive,
6/6/2021,MJ06,TA22,Mortality,1,Roadkill,Mortality
6/6/2021,FJ04,TA21,Normal,0,Survive,
6/6/2021,MJ08,TA21,Normal,0,Survive,
6/8/2021,MS02,TA21,Normal,0,Survive,
6/8/2021,FS02,TA21,Normal,0,Survive,
6/8/2021,FS03,TA21,Normal,0,Survive,
6/8/2021,MS03,TA21,Normal,0,Survive,
6/8/2021,MS04,TA21,Normal,0,Survive,
6/8/2021,MS05,TA21,Normal,0,Survive,
6/8/2021,US01,TA21,Normal,0,Survive,
6/8/2021,MJ01,TA21,Normal,0,Survive,
6/8/2021,MJ02,TA21,Normal,0,Survive,
6/8/2021,MS06,TA21,Normal,0,Survive,
6/8/2021,MJ04,TA21,Normal,0,Survive,
6/8/2021,FJ01,TA21,Normal,0,Survive,
6/8/2021,FJ02,TA21,Normal,0,Survive,
6/8/2021,FJ03,TA21,Normal,0,Survive,
6/8/2021,FJ04,TA21,Normal,0,Survive,
6/8/2021,MJ08,TA21,Normal,0,Survive,
6/16/2021,FS01,TA9,Normal,0,Survive,
6/16/2021,MS02,TA21,Normal,0,Survive,
6/16/2021,FS02,TA21,Normal,0,Survive,
6/16/2021,MS03,TA21,Normal,0,Survive,
6/16/2021,MS05,TA21,Normal,0,Survive,
6/16/2021,US01,TA21,Normal,0,Survive,
6/16/2021,MJ01,TA21,Normal,0,Survive,
6/16/2021,MJ02,TA21,Normal,0,Survive,
6/16/2021,MJ04,TA21,Normal,0,Survive,
6/16/2021,FJ01,TA21,Normal,0,Survive,
6/16/2021,FJ02,TA21,Mortality,0,Dropped tag,Dropped tag
6/16/2021,MJ08,TA21,Normal,0,Survive,
6/17/2021,MS01,TA09,Normal,0,Survive,
6/21/2021,MS02,TA21,Normal,0,Survive,
6/21/2021,FS02,TA21,Normal,0,Survive,
6/21/2021,MS03,TA21,Normal,0,Survive,
6/21/2021,MS04,TA21,Normal,0,Survive,
6/21/2021,MS05,TA21,Normal,0,Survive,
6/21/2021,US01,TA21,Normal,0,Survive,
6/21/2021,MJ01,TA21,Normal,0,Survive,
6/21/2021,MJ02,TA21,Normal,0,Survive,
6/21/2021,MS06,TA21,Normal,0,Survive,
6/21/2021,MJ04,TA21,Normal,0,Survive,
6/21/2021,FJ01,TA21,Normal,0,Survive,
6/21/2021,FJ03,TA21,Normal,0,Survive,
6/21/2021,FJ04,TA21,Normal,0,Survive,
6/21/2021,MJ08,TA21,Normal,0,Survive,
6/23/2021,MS01,TA12A,Normal,0,Survive,
6/23/2021,FS01,TA12A,Normal,0,Survive,
6/23/2021,MS02,TA21,Normal,0,Survive,
6/23/2021,FS02,TA21,Normal,0,Survive,
6/23/2021,MS03,TA21,Normal,0,Survive,
6/23/2021,MS05,TA21,Normal,0,Survive,
6/23/2021,US01,TA21,Normal,0,Survive,
6/23/2021,MJ01,TA21,Normal,0,Survive,
6/23/2021,MJ02,TA21,Normal,0,Survive,
6/23/2021,MS06,TA21,Normal,0,Survive,
6/23/2021,MJ04,TA21,Normal,0,Survive,
6/23/2021,FJ01,TA21,Normal,0,Survive,
6/23/2021,FJ03,TA21,Normal,0,Survive,
6/23/2021,FJ04,TA21,Normal,0,Survive,
6/23/2021,MJ08,TA21,Normal,0,Survive,
6/30/2021,FS03,TA22,Mortality,1,Roadkill,Roadkill
7/1/2021,FS02,TA21,Normal,0,Survive,
7/1/2021,MS03,TA21,Normal,0,Survive,
7/1/2021,MS04,TA22,Mortality,0,Dropped tag,Dropped tag
7/1/2021,MS05,TA21,Normal,0,Survive,
7/1/2021,US01,TA21,Normal,0,Survive,
7/1/2021,MJ01,TA21,Normal,0,Survive,
