No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
2525,20147,1/8/2022,15:02:27,1/8/2022,3:02:27 PM,Collar,10/28/2022,5:35:47 PM,-2676288,-4421720,3725193,35.9645126,-121.1848209,319.54,3.6,val. GPS-3D,,5,32,47,21,32,31,38,1,35,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,10,3.3,3.66,-1,10663679.61,3981535.371,N/A,N/A
2524,20147,1/8/2022,14:32:27,1/8/2022,2:32:27 PM,Collar,10/28/2022,5:35:47 PM,-2676278,-4421689,3725150,35.9643667,-121.184904,268.63,2.4,val. GPS-3D,,6,1,44,31,41,21,38,32,38,10,32,8,32,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.32,3.66,-1,10663672.41,3981519.049,N/A,N/A
2523,20147,1/8/2022,14:02:56,1/8/2022,2:02:56 PM,Collar,10/28/2022,5:35:47 PM,-2676299,-4421714,3725167,35.9643199,-121.1849597,304.73,2.8,val. GPS-3D,,7,8,44,10,29,31,41,32,29,21,38,27,29,1,35,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.3,3.66,0,10663667.49,3981513.77,N/A,N/A
2522,20147,1/8/2022,13:32:29,1/8/2022,1:32:29 PM,Collar,10/28/2022,5:35:47 PM,-2676296,-4421717,3725167,35.9643146,-121.184914,305.55,3.8,val. GPS-3D,,5,8,38,23,29,32,35,10,35,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.32,3.66,0,10663671.62,3981513.252,N/A,N/A
2521,20147,1/8/2022,13:02:32,1/8/2022,1:02:32 PM,Collar,10/28/2022,5:35:47 PM,-2676288,-4421704,3725149,35.9642641,-121.1849128,282.62,3,val. GPS-3D,,5,27,47,32,32,10,29,8,29,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.32,3.66,0,10663671.84,3981507.651,N/A,N/A
2520,20147,1/8/2022,12:32:27,1/8/2022,12:32:27 PM,Collar,10/28/2022,5:35:47 PM,-2676297,-4421708,3725175,35.9644109,-121.1849752,304.43,3.8,val. GPS-3D,,5,8,44,10,41,27,47,32,29,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.32,3.66,0,10663665.91,3981523.839,N/A,N/A
2519,20147,1/8/2022,12:02:56,1/8/2022,12:02:56 PM,Collar,10/28/2022,5:35:47 PM,-2676298,-4421716,3725169,35.9643282,-121.1849387,306.87,4.4,val. GPS-3D,,5,8,44,27,32,32,41,10,35,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.3,3.66,1,10663669.37,3981514.723,N/A,N/A
2518,20147,1/8/2022,11:32:59,1/8/2022,11:32:59 AM,Collar,10/28/2022,5:35:47 PM,-2676301,-4421711,3725169,35.9643426,-121.1849959,304.66,1.8,val. GPS-3D,,6,10,32,27,47,32,50,23,35,15,29,16,29,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.3,3.66,1,10663664.18,3981516.226,N/A,N/A
2517,20147,1/8/2022,11:02:29,1/8/2022,11:02:29 AM,Collar,10/28/2022,5:35:47 PM,-2676304,-4421699,3725184,35.9644982,-121.1850932,306.42,2.8,val. GPS-3D,,5,23,35,10,41,18,29,15,29,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.32,3.66,1,10663655.08,3981533.315,N/A,N/A
2516,20147,1/8/2022,10:32:28,1/8/2022,10:32:28 AM,Collar,10/28/2022,5:35:47 PM,-2676292,-4421697,3725187,35.964562,-121.1849909,301.77,6,val. GPS-3D,,5,10,44,23,44,18,35,15,29,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.34,3.66,2,10663664.18,3981540.567,N/A,N/A
2515,20147,1/8/2022,9:00:39,1/8/2022,9:00:39 AM,Collar,10/28/2022,5:35:47 PM,-2676288,-4421698,3725161,35.9643788,-121.1849472,285.51,1.6,val. GPS-3D,,8,10,44,18,38,23,44,29,29,5,29,25,35,16,29,15,29,0,0,0,0,0,0,0,0,normal,0,3.34,3.66,3,10663668.5,3981520.317,N/A,N/A
2514,20147,1/8/2022,6:00:39,1/8/2022,6:00:39 AM,Collar,10/28/2022,5:35:47 PM,-2676279,-4421702,3725178,35.9645093,-121.1848389,294.49,5,val. GPS-3D,,5,29,38,5,44,20,29,25,29,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,3.34,3.66,5,10663677.99,3981534.981,N/A,N/A
2513,20147,1/8/2022,3:00:46,1/8/2022,3:00:46 AM,Collar,10/28/2022,5:35:47 PM,-2676300,-4421711,3725172,35.9643673,-121.1849864,306,2.6,val. GPS-3D,,5,2,47,12,47,14,29,17,29,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,3.34,3.66,11,10663664.99,3981518.974,N/A,N/A
2512,20147,1/8/2022,0:00:39,1/8/2022,12:00:39 AM,Collar,10/28/2022,5:35:47 PM,-2678903,-4422582,3722583,35.9344047,-121.2046646,480.67,2.2,val. GPS-3D,,6,13,50,14,44,1,35,7,35,17,38,21,32,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,3.36,3.66,16,10661951.53,3978162.356,N/A,N/A
