No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
270,33348,4/26/2021,21:00:38,4/26/2021,9:00:38 PM,Collar,5/7/2021,6:09:02 PM,-2677614,-4424854,3720587,35.9130918,-121.1794104,342.88,1.2,val. GPS-3D,,8,19,35,2,38,6,32,17,32,12,35,14,29,24,35,25,29,0,0,0,0,0,0,0,0,,,3.38,3.64,26,10664273.96,3975840.307,N/A,N/A
269,33348,4/26/2021,18:00:36,4/26/2021,6:00:36 PM,Collar,5/7/2021,6:09:02 PM,-2677626,-4424854,3720614,35.913256,-121.1795242,363.75,1.4,val. GPS-3D,,7,30,41,15,44,13,44,14,29,19,38,17,29,1,35,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,17,10664263.35,3975858.333,N/A,N/A
268,33348,4/26/2021,15:00:19,4/26/2021,3:00:19 PM,Collar,5/7/2021,6:09:02 PM,-2677605,-4424836,3720569,35.9130665,-121.1794284,316.07,1.2,val. GPS-3D,,6,4,35,14,35,5,44,8,38,30,38,27,35,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,11,10664272.39,3975837.465,N/A,N/A
267,33348,4/26/2021,12:00:21,4/26/2021,12:00:21 PM,Collar,5/7/2021,6:09:02 PM,-2677586,-4424846,3720589,35.9132192,-121.1791909,326.77,1.4,val. GPS-3D,,6,4,38,6,47,22,41,26,35,16,38,3,38,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,7,10664293.5,3975854.809,N/A,N/A
266,33348,4/26/2021,9:00:15,4/26/2021,9:00:15 AM,Collar,5/7/2021,6:09:02 PM,-2677643,-4424893,3720637,35.913201,-121.1794616,411.39,1,val. GPS-3D,,10,4,41,21,44,22,32,1,44,31,41,3,38,32,32,10,29,26,29,25,29,0,0,0,0,,,3.36,3.64,5,10664269.11,3975852.335,N/A,N/A
265,33348,4/26/2021,7:54:10,4/26/2021,7:54:10 AM,Collar,5/7/2021,6:09:02 PM,-2677637,-4424904,3720605,35.9129341,-121.1793416,397.72,1.2,val. GPS-3D,,9,21,38,27,29,10,35,22,38,31,44,32,41,8,35,1,38,3,41,0,0,0,0,0,0,,,3.34,3.64,5,10664280.49,3975822.93,N/A,N/A
264,33348,4/26/2021,7:24:12,4/26/2021,7:24:12 AM,Collar,5/7/2021,6:09:02 PM,-2677627,-4424853,3720619,35.9132943,-121.1795394,366.4,1.2,val. GPS-3D,,8,10,29,22,44,21,41,32,38,8,35,27,32,1,41,23,29,0,0,0,0,0,0,0,0,,,3.34,3.64,6,10664261.9,3975862.554,N/A,N/A
263,33348,4/26/2021,6:54:13,4/26/2021,6:54:13 AM,Collar,5/7/2021,6:09:02 PM,-2677615,-4424842,3720596,35.913209,-121.1794887,340.26,1.2,val. GPS-3D,,8,22,38,21,41,8,44,23,35,10,32,27,41,32,41,1,35,0,0,0,0,0,0,0,0,,,3.34,3.64,7,10664266.65,3975853.179,N/A,N/A
262,33348,4/26/2021,6:24:10,4/26/2021,6:24:10 AM,Collar,5/7/2021,6:09:02 PM,-2677632,-4424870,3720613,35.91316,-121.1794893,376.76,1.2,val. GPS-3D,,7,18,35,10,38,8,38,21,35,27,29,23,35,32,38,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,7,10664266.7,3975847.734,N/A,N/A
261,33348,4/26/2021,5:54:08,4/26/2021,5:54:08 AM,Collar,5/7/2021,6:09:02 PM,-2677627,-4424855,3720607,35.9131977,-121.1795279,360.75,1.2,val. GPS-3D,,8,8,44,10,38,18,38,21,41,24,35,32,47,27,41,23,29,0,0,0,0,0,0,0,0,,,3.34,3.64,8,10664263.14,3975851.854,N/A,N/A
260,33348,4/26/2021,5:24:06,4/26/2021,5:24:06 AM,Collar,5/7/2021,6:09:02 PM,-2677621,-4424855,3720615,35.9132725,-121.179471,362.93,1.2,val. GPS-3D,,9,8,35,32,41,27,47,18,38,10,38,23,32,24,32,15,29,20,29,0,0,0,0,0,0,,,3.34,3.64,9,10664268.11,3975860.249,N/A,N/A
259,33348,4/26/2021,4:54:28,4/26/2021,4:54:28 AM,Collar,5/7/2021,6:09:02 PM,-2677612,-4424821,3720619,35.9134801,-121.1795807,337.94,2,val. GPS-3D,,7,8,38,10,41,23,38,27,44,18,35,20,35,16,29,0,0,0,0,0,0,0,0,0,0,,,3.34,3.64,9,10664257.78,3975883.092,N/A,N/A
