No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
9609,33349,12/31/2023,21:00:18,12/31/2023,9:00:18 PM,Iridium,1/1/2024,12:01:03 AM,-2674904,-4425116,3722094,35.9303198,-121.1522163,272.81,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,26,10666691.81,3977797.53,N/A,N/A
9608,33349,12/31/2023,18:00:15,12/31/2023,6:00:15 PM,Iridium,1/1/2024,12:01:03 AM,-2674962,-4424438,3722860,35.9388193,-121.1566532,276.84,1.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,23,10666273.7,3978732.814,N/A,N/A
9607,33349,12/31/2023,15:03:00,12/31/2023,3:03:00 PM,Iridium,1/1/2024,12:01:03 AM,,,,,,,0,No Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.28,3.6,32,31166021.45,0,N/A,N/A
9606,33349,12/31/2023,12:00:34,12/31/2023,12:00:34 PM,Iridium,1/1/2024,12:01:12 AM,-2674488,-4424524,3723074,35.9412885,-121.1516648,263.5,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,27,10666718.52,3979015.243,N/A,N/A
9605,33349,12/31/2023,9:00:36,12/31/2023,9:00:36 AM,Iridium,1/1/2024,12:01:12 AM,-2674490,-4424532,3723072,35.9412322,-121.1516379,268.7,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,30,10666721.06,3979009.045,N/A,N/A
9604,33349,12/31/2023,6:00:15,12/31/2023,6:00:15 AM,Iridium,1/1/2024,12:01:12 AM,-2674478,-4424542,3723064,35.9411614,-121.1514668,265.91,1,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,27,10666736.65,3979001.483,N/A,N/A
9603,33349,12/31/2023,3:00:38,12/31/2023,3:00:38 AM,Iridium,1/1/2024,12:01:12 AM,-2674782,-4424922,3722406,35.9338084,-121.1521714,270.36,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,23,10666688.53,3978184.592,N/A,N/A
9602,33349,12/31/2023,0:00:31,12/31/2023,12:00:31 AM,Iridium,12/31/2023,12:01:43 AM,-2674462,-4426820,3720532,35.9124182,-121.1382605,352.32,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,26,10667988.79,3975835.597,N/A,N/A
9601,33349,12/30/2023,21:00:37,12/30/2023,9:00:37 PM,Iridium,12/31/2023,12:01:43 AM,-2674908,-4425050,3722084,35.9305346,-121.1526325,222.88,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,26,10666653.8,3977820.645,N/A,N/A
9600,33349,12/30/2023,18:00:26,12/30/2023,6:00:26 PM,Iridium,12/31/2023,12:01:43 AM,-2674952,-4424470,3722818,35.9383953,-121.1563749,270.17,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,29,10666299.69,3978686.26,N/A,N/A
9599,33349,12/30/2023,15:00:37,12/30/2023,3:00:37 PM,Iridium,12/31/2023,12:01:43 AM,-2674498,-4424536,3723070,35.9411776,-121.1516909,273.65,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,29,10666716.4,3979002.899,N/A,N/A
9598,33349,12/30/2023,12:00:27,12/30/2023,12:00:27 PM,Iridium,12/30/2023,12:00:51 PM,-2674448,-4424558,3723014,35.9408063,-121.1510905,235.08,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,30,10666771.34,3978962.728,N/A,N/A
9597,33349,12/30/2023,9:00:35,12/30/2023,9:00:35 AM,Iridium,12/30/2023,12:00:51 PM,-2674482,-4424522,3723062,35.9412264,-121.1516194,252.55,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,35,10666722.75,3979008.433,N/A,N/A
9596,33349,12/30/2023,6:03:00,12/30/2023,6:03:00 AM,Iridium,12/30/2023,12:00:51 PM,,,,,,,0,No Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,30,31166021.45,0,N/A,N/A
9595,33349,12/30/2023,3:00:15,12/30/2023,3:00:15 AM,Iridium,12/30/2023,12:00:51 PM,-2674418,-4424608,3722998,35.9405453,-121.1505194,247.77,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,23,10666823.41,3978934.751,N/A,N/A
9594,33349,12/30/2023,0:00:11,12/30/2023,12:00:11 AM,Iridium,12/30/2023,12:01:50 AM,-2674188,-4427030,3720372,35.9110491,-121.1344595,289.31,1,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,26,10668334.71,3975690.27,N/A,N/A
9593,33349,12/29/2023,21:00:33,12/29/2023,9:00:33 PM,Iridium,12/30/2023,12:01:50 AM,-2674288,-4426980,3720364,35.9109436,-121.1356941,291.83,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,28,10668223.51,3975676.441,N/A,N/A
9592,33349,12/29/2023,18:00:40,12/29/2023,6:00:40 PM,Iridium,12/30/2023,12:01:50 AM,-2674634,-4425020,3722502,35.9344702,-121.1502061,332.62,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,24,10666864.44,3978261.371,N/A,N/A
9591,33349,12/29/2023,15:02:34,12/29/2023,3:02:34 PM,Iridium,12/30/2023,12:01:50 AM,-2674484,-4424606,3723062,35.9408407,-121.1511568,311.59,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,33,10666765.29,3978966.434,N/A,N/A
9590,33349,12/29/2023,12:00:15,12/29/2023,12:00:15 PM,Iridium,12/29/2023,12:00:41 PM,-2674472,-4424548,3723036,35.9409464,-121.1513755,251.12,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,33,10666745.34,3978977.785,N/A,N/A
9589,33349,12/29/2023,9:01:32,12/29/2023,9:01:32 AM,Iridium,12/29/2023,12:00:41 PM,-2674454,-4424572,3723154,35.9417479,-121.1510672,329.47,2.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,34,10666771.47,3979067.231,N/A,N/A
9588,33349,12/29/2023,6:00:38,12/29/2023,6:00:38 AM,Iridium,12/29/2023,12:00:41 PM,-2674480,-4424544,3723056,35.9410885,-121.1514743,263.44,0.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,31,10666736.13,3978993.384,N/A,N/A
9587,33349,12/29/2023,3:00:11,12/29/2023,3:00:11 AM,Iridium,12/29/2023,12:00:41 PM,-2674596,-4424726,3722784,35.9379626,-121.1515311,278.48,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,27,10666737.57,3978646.524,N/A,N/A
9586,33349,12/29/2023,0:01:33,12/29/2023,12:01:33 AM,Iridium,12/29/2023,12:02:26 AM,-2674540,-4426550,3720648,35.9142732,-121.1405469,265.86,1,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,29,10667778.55,3976037.449,N/A,N/A
9585,33349,12/28/2023,21:00:18,12/28/2023,9:00:18 PM,Iridium,12/29/2023,12:02:26 AM,-2675128,-4424662,3722494,35.9346805,-121.1569431,286.78,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,30,10666256.21,3978273.206,N/A,N/A
9584,33349,12/28/2023,18:00:13,12/28/2023,6:00:13 PM,Iridium,12/29/2023,12:02:26 AM,-2675276,-4424730,3722252,35.9322019,-121.1579567,253.89,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.6,27,10666169.96,3977996.523,N/A,N/A
9583,33349,12/28/2023,15:00:38,12/28/2023,3:00:38 PM,Iridium,12/29/2023,12:02:26 AM,-2674484,-4424550,3723058,35.941065,-121.1514778,270.44,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,29,10666735.86,3978990.769,N/A,N/A
9582,33349,12/28/2023,12:03:00,12/28/2023,12:03:00 PM,Iridium,12/29/2023,12:02:35 AM,,,,,,,0,No Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,32,31166021.45,0,N/A,N/A
9581,33349,12/28/2023,9:03:00,12/28/2023,9:03:00 AM,Iridium,12/29/2023,12:02:35 AM,,,,,,,0,No Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,32,31166021.45,0,N/A,N/A
9580,33349,12/28/2023,6:03:00,12/28/2023,6:03:00 AM,Iridium,12/29/2023,12:02:35 AM,,,,,,,0,No Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,31,31166021.45,0,N/A,N/A
9579,33349,12/28/2023,3:01:01,12/28/2023,3:01:01 AM,Iridium,12/29/2023,12:02:35 AM,-2674478,-4424534,3723058,35.9411539,-121.1515126,256.85,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,24,10666732.53,3979000.566,N/A,N/A
9578,33349,12/28/2023,0:00:38,12/28/2023,12:00:38 AM,Iridium,12/28/2023,12:01:32 AM,-2674394,-4426858,3720358,35.9111621,-121.137398,248.13,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,3.36,3.68,27,10668069.28,3975697.741,N/A,N/A
