No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
1672,33351,7/5/2022,18:00:23,7/5/2022,6:00:23 PM,Collar,9/26/2022,8:57:53 AM,-2671074,-4410683,3741696,36.1491488,-121.198759,217.14,1.6,val. GPS-3D,,6,2,47,11,44,25,41,20,47,31,29,18,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.4,3.66,39,10662043.52,4001994.258,N/A,N/A
1671,33351,7/5/2022,15:00:37,7/5/2022,3:00:37 PM,Collar,9/26/2022,8:57:53 AM,-2671066,-4410706,3741657,36.1487825,-121.1985506,206.67,1.4,val. GPS-3D,,7,12,41,2,35,6,44,11,29,17,47,24,35,19,41,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,18,10662063.03,4001953.965,N/A,N/A
1670,33351,7/5/2022,12:00:38,7/5/2022,12:00:38 PM,Collar,9/26/2022,8:57:53 AM,-2671069,-4410708,3741663,36.1488088,-121.1985676,212.85,1.4,val. GPS-3D,,7,19,32,17,41,7,38,21,32,13,41,1,44,30,32,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,11,10662061.44,4001956.855,N/A,N/A
1669,33351,7/5/2022,9:00:22,7/5/2022,9:00:22 AM,Collar,9/26/2022,8:57:53 AM,-2671083,-4410791,3741628,36.1481381,-121.1982229,255.39,1.4,val. GPS-3D,,6,27,50,7,50,9,38,30,44,20,32,4,32,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,13,10662093.84,4001883.032,N/A,N/A
1668,33351,7/5/2022,6:00:11,7/5/2022,6:00:11 AM,Collar,9/26/2022,8:57:53 AM,-2671069,-4410719,3741624,36.148475,-121.1985042,197.44,1.6,val. GPS-3D,,7,3,38,4,47,26,41,16,38,9,38,31,38,6,29,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,16,10662067.83,4001919.928,N/A,N/A
1667,33351,7/5/2022,3:00:33,7/5/2022,3:00:33 AM,Collar,9/26/2022,8:57:53 AM,-2671070,-4410714,3741654,36.1487133,-121.1985425,212.1,1.4,val. GPS-3D,,8,3,29,32,50,10,35,1,44,31,41,22,50,21,38,25,35,0,0,0,0,0,0,0,0,,,3.4,3.64,22,10662063.89,4001946.299,N/A,N/A
1666,33351,7/5/2022,0:00:12,7/5/2022,12:00:12 AM,Collar,9/26/2022,8:57:53 AM,-2671078,-4410658,3741642,36.1488586,-121.1989409,169.69,1.8,val. GPS-3D,,5,23,47,10,50,18,38,24,44,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.42,3.66,32,10662027.75,4001961.751,N/A,N/A
1665,33351,7/4/2022,21:00:36,7/4/2022,9:00:36 PM,Collar,9/26/2022,8:57:53 AM,-2671064,-4410705,3741655,36.148778,-121.1985373,203.96,1.4,val. GPS-3D,,7,26,38,5,44,18,50,13,44,29,41,10,38,23,35,0,0,0,0,0,0,0,0,0,0,,,3.44,3.66,47,10662064.23,4001953.488,N/A,N/A
1664,33351,7/4/2022,18:00:12,7/4/2022,6:00:12 PM,Collar,9/26/2022,8:57:53 AM,-2671041,-4410674,3741578,36.148422,-121.1984971,127.51,1.2,val. GPS-3D,,9,31,32,5,35,20,47,11,41,12,35,2,44,25,44,29,38,6,32,0,0,0,0,0,0,,,3.42,3.66,39,10662068.58,4001914.059,N/A,N/A
1663,33351,7/4/2022,15:00:21,7/4/2022,3:00:21 PM,Collar,9/26/2022,8:57:53 AM,-2671157,-4410789,3741658,36.1481618,-121.1989377,302.65,1.4,val. GPS-3D,,6,24,38,17,47,6,47,19,44,11,29,12,41,0,0,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,14,10662029.47,4001884.461,N/A,N/A
