No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
3568,33353,5/31/2023,15:01:52,5/31/2023,3:01:52 PM,Collar,5/31/2023,8:31:24 AM,-2676306,-4421705,3725219,35.9647208,-121.1850777,331.97,1.2,val. GPS-3D,,8,17,29,24,29,6,29,14,29,13,29,15,29,12,29,19,29,0,0,0,0,0,0,0,0,,,3.32,,12,10663656.02,3981558.04,N/A,N/A
3567,33353,5/31/2023,12:00:54,5/31/2023,12:00:54 PM,Collar,5/31/2023,8:31:24 AM,-2676284,-4421690,3725152,35.9643603,-121.1849552,273.01,1,val. GPS-3D,,9,13,29,7,29,2,29,30,29,9,29,19,29,5,29,8,29,14,29,0,0,0,0,0,0,,,3.3,,12,10663667.81,3981518.255,N/A,N/A
3566,33353,5/31/2023,9:02:14,5/31/2023,9:02:14 AM,Collar,5/31/2023,8:31:24 AM,-2676279,-4421679,3725194,35.9647302,-121.1849709,287.97,1.2,val. GPS-3D,,7,27,29,8,29,3,29,26,29,4,29,9,29,7,29,0,0,0,0,0,0,0,0,0,0,,,3.3,,13,10663665.63,3981559.258,N/A,N/A
3565,33353,5/31/2023,6:00:54,5/31/2023,6:00:54 AM,Collar,5/31/2023,8:31:24 AM,-2676248,-4421660,3725164,35.9646823,-121.184786,244.2,1.2,val. GPS-3D,,8,16,29,3,29,4,29,2,29,28,29,26,29,21,29,31,29,0,0,0,0,0,0,0,0,,,3.34,,17,10663682.41,3981554.262,N/A,N/A
3564,33353,5/31/2023,3:01:51,5/31/2023,3:01:51 AM,Collar,5/31/2023,8:31:24 AM,-2676243,-4421653,3725178,35.9648299,-121.1847787,245.48,1.4,val. GPS-3D,,6,27,29,28,29,2,29,8,29,23,29,10,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.32,,20,10663682.76,3981570.638,N/A,N/A
3563,33353,5/31/2023,0:01:06,5/31/2023,12:01:06 AM,Collar,5/31/2023,8:31:24 AM,-2676260,-4421761,3725213,35.9645495,-121.18432,347.94,2.2,val. GPS-3D,,6,23,29,15,29,29,29,27,29,10,29,26,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.34,,20,10663724.7,3981540.314,N/A,N/A
3562,33353,5/30/2023,21:01:27,5/30/2023,9:01:27 PM,Collar,5/31/2023,8:31:24 AM,-2676260,-4421700,3725190,35.964658,-121.1846702,292.19,1.2,val. GPS-3D,,9,29,29,25,29,20,29,5,29,26,29,15,29,12,29,23,29,13,29,0,0,0,0,0,0,,,3.34,,18,10663692.9,3981551.754,N/A,N/A
3561,33353,5/30/2023,18:01:06,5/30/2023,6:01:06 PM,Collar,5/31/2023,8:31:24 AM,-2676262,-4421686,3725181,35.9646502,-121.1847695,278.05,1.2,val. GPS-3D,,7,20,29,25,32,24,29,12,29,19,29,5,29,6,29,0,0,0,0,0,0,0,0,0,0,,,3.3,,15,10663683.96,3981550.729,N/A,N/A
3560,33353,5/30/2023,15:00:39,5/30/2023,3:00:39 PM,Collar,5/31/2023,8:31:24 AM,-2676270,-4421717,3725173,35.9644296,-121.1846674,298.17,1.8,val. GPS-3D,,5,24,29,19,29,13,29,6,29,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.32,,11,10663693.62,3981526.425,N/A,N/A
3559,33353,5/30/2023,12:00:38,5/30/2023,12:00:38 PM,Collar,5/31/2023,8:31:24 AM,-2676267,-4421679,3725175,35.9646245,-121.1848571,271.78,1,val. GPS-3D,,10,30,29,13,29,14,29,8,29,9,29,7,29,5,29,21,29,20,29,2,29,0,0,0,0,,,3.32,,12,10663676.11,3981547.723,N/A,N/A
