No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
1239,46254,5/31/2023,12:00:23,5/31/2023,12:00:23 PM,Collar,5/31/2023,7:51:13 AM,-2676410,-4421818,3724917,35.9617213,-121.1854154,276.44,1.2,val. GPS-3D,,7,13,35,30,29,9,35,14,29,5,29,17,29,8,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,14,10663631.76,3981224.736,N/A,N/A
1238,46254,5/31/2023,9:00:38,5/31/2023,9:00:38 AM,Collar,5/31/2023,7:51:13 AM,-2676493,-4421838,3724923,35.9614471,-121.1860877,328.6,1.4,val. GPS-3D,,7,7,29,4,29,30,29,27,29,3,29,9,29,16,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,15,10663571.69,3981193.187,N/A,N/A
1237,46254,5/31/2023,6:00:51,5/31/2023,6:00:51 AM,Collar,5/31/2023,7:51:13 AM,-2676406,-4421731,3724922,35.9621626,-121.1858768,217.46,1.4,val. GPS-3D,,6,21,29,4,32,2,32,16,29,3,29,32,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,18,10663589.23,3981272.919,N/A,N/A
1236,46254,5/31/2023,3:00:26,5/31/2023,3:00:26 AM,Collar,5/31/2023,7:51:13 AM,-2676266,-4421604,3724852,35.9626107,-121.1852781,29.74,1.6,val. GPS-3D,,6,8,32,32,29,2,29,21,29,27,29,10,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,21,10663642.3,3981323.628,N/A,N/A
1235,46254,5/31/2023,0:00:50,5/31/2023,12:00:50 AM,Collar,5/31/2023,7:51:13 AM,-2676466,-4421788,3724952,35.961959,-121.1861186,299.7,1.2,val. GPS-3D,,9,16,29,27,29,29,29,32,29,24,29,15,29,23,29,18,29,10,29,0,0,0,0,0,0,,,3.38,3.64,24,10663567.85,3981249.921,N/A,N/A
1234,46254,5/30/2023,21:00:26,5/30/2023,9:00:26 PM,Collar,5/31/2023,7:51:13 AM,-2676468,-4421788,3724958,35.9619973,-121.1861376,304.06,1.4,val. GPS-3D,,7,20,29,15,29,18,32,13,29,25,29,5,29,29,29,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,22,10663566.06,3981254.136,N/A,N/A
1233,46254,5/30/2023,18:03:00,5/30/2023,6:03:00 PM,Collar,5/31/2023,7:51:13 AM,,,,,,,0,No Fix,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.34,3.64,21,31166021.45,0,N/A,N/A
1232,46254,5/30/2023,15:00:30,5/30/2023,3:00:30 PM,Collar,5/31/2023,7:51:13 AM,-2676439,-4421784,3724917,35.9617958,-121.1858856,265.06,1.4,val. GPS-3D,,6,24,29,15,35,14,29,13,32,17,29,30,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,15,10663589.2,3981232.207,N/A,N/A
1231,46254,5/30/2023,12:00:39,5/30/2023,12:00:39 PM,Collar,5/31/2023,7:51:13 AM,-2676455,-4421782,3724945,35.9619652,-121.1860488,286.82,1,val. GPS-3D,,11,30,29,17,35,13,29,9,32,5,29,14,29,21,29,7,29,8,29,20,29,2,29,0,0,,,3.36,3.64,14,10663574.13,3981250.731,N/A,N/A
1230,46254,5/30/2023,9:00:39,5/30/2023,9:00:39 AM,Collar,5/31/2023,7:51:13 AM,-2676465,-4421802,3724952,35.9618983,-121.1860288,308.97,1.2,val. GPS-3D,,7,16,29,7,35,30,35,27,29,8,29,3,29,6,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,16,10663576.07,3981243.344,N/A,N/A
1229,46254,5/30/2023,6:00:39,5/30/2023,6:00:39 AM,Collar,5/31/2023,7:51:13 AM,-2676428,-4421740,3724929,35.9621127,-121.1860338,237.03,1.2,val. GPS-3D,,8,4,29,1,29,28,29,2,29,3,29,21,32,32,29,31,29,0,0,0,0,0,0,0,0,,,3.38,3.64,18,10663575.18,3981267.112,N/A,N/A
1228,46254,5/30/2023,3:00:38,5/30/2023,3:00:38 AM,Collar,5/31/2023,7:51:13 AM,-2676443,-4421770,3724936,35.9619868,-121.1860039,268.2,1.2,val. GPS-3D,,8,8,38,10,29,32,32,28,29,27,29,31,29,2,29,23,29,0,0,0,0,0,0,0,0,,,3.38,3.64,21,10663578.14,3981253.199,N/A,N/A
1227,46254,5/30/2023,0:00:27,5/30/2023,12:00:27 AM,Collar,5/31/2023,7:51:13 AM,-2676463,-4421766,3724931,35.9619136,-121.1862165,270.87,1.2,val. GPS-3D,,8,16,35,32,29,23,29,15,29,18,29,29,29,24,29,13,29,0,0,0,0,0,0,0,0,,,3.38,3.64,23,10663559.12,3981244.725,N/A,N/A
1226,46254,5/29/2023,21:00:39,5/29/2023,9:00:39 PM,Collar,5/31/2023,7:51:13 AM,-2676436,-4421760,3724939,35.9620731,-121.1859949,260.1,1.2,val. GPS-3D,,9,13,29,18,35,23,29,12,32,25,29,5,29,15,29,29,29,20,29,0,0,0,0,0,0,,,3.38,3.64,21,10663578.77,3981262.792,N/A,N/A
1225,46254,5/29/2023,18:00:22,5/29/2023,6:00:22 PM,Collar,5/31/2023,7:51:13 AM,-2676444,-4421760,3724954,35.9621606,-121.1860707,272.26,1.4,val. GPS-3D,,6,12,29,25,29,6,29,5,35,20,29,29,32,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,17,10663571.75,3981272.37,N/A,N/A
1224,46254,5/29/2023,15:00:38,5/29/2023,3:00:38 PM,Collar,5/31/2023,7:51:13 AM,-2676447,-4421776,3724937,35.961956,-121.1860073,274.61,1.2,val. GPS-3D,,7,24,32,14,29,15,38,12,29,30,29,13,32,6,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,14,10663577.89,3981249.773,N/A,N/A
1223,46254,5/29/2023,12:00:23,5/29/2023,12:00:23 PM,Collar,5/31/2023,7:51:13 AM,-2676467,-4421789,3724916,35.9616891,-121.1861224,279.67,1.2,val. GPS-3D,,7,8,29,9,32,30,29,14,29,7,29,21,29,20,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,14,10663568.06,3981219.978,N/A,N/A
1222,46254,5/29/2023,9:01:08,5/29/2023,9:01:08 AM,Collar,5/31/2023,7:51:13 AM,-2676463,-4421792,3724953,35.9619564,-121.1860672,301.8,1.2,val. GPS-3D,,8,7,35,4,29,27,29,8,29,30,35,16,29,3,29,6,29,0,0,0,0,0,0,0,0,,,3.36,3.64,16,10663572.49,3981249.719,N/A,N/A
1221,46254,5/29/2023,6:00:38,5/29/2023,6:00:38 AM,Collar,5/31/2023,7:51:13 AM,-2676443,-4421750,3724922,35.9619752,-121.1861187,246.13,1.2,val. GPS-3D,,9,2,29,16,29,1,32,21,35,4,29,26,29,28,29,32,29,3,29,0,0,0,0,0,0,,,3.38,3.64,19,10663567.81,3981251.723,N/A,N/A
1220,46254,5/29/2023,3:00:47,5/29/2023,3:00:47 AM,Collar,5/31/2023,7:51:13 AM,-2676451,-4421792,3724958,35.9620257,-121.1859534,299.7,1.6,val. GPS-3D,,6,8,35,2,29,32,29,27,29,28,29,10,32,0,0,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,21,10663582.61,3981257.604,N/A,N/A
1219,46254,5/29/2023,0:00:27,5/29/2023,12:00:27 AM,Collar,5/31/2023,7:51:13 AM,-2676294,-4421533,3724797,35.9624542,-121.1859512,-39.99,1.2,val. GPS-3D,,6,16,35,15,29,27,29,29,32,32,29,26,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,22,10663581.92,3981305.142,N/A,N/A
1218,46254,5/28/2023,21:00:26,5/28/2023,9:00:26 PM,Collar,5/31/2023,7:51:13 AM,-2676451,-4421682,3724919,35.9622393,-121.1865849,200.63,1.8,val. GPS-3D,,6,5,29,12,35,25,29,29,29,15,29,20,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.38,3.64,22,10663525.22,3981280.234,N/A,N/A
1217,46254,5/28/2023,18:00:36,5/28/2023,6:00:36 PM,Collar,5/31/2023,7:51:13 AM,-2676443,-4421748,3724920,35.9619697,-121.1861301,243.57,1.2,val. GPS-3D,,7,29,29,25,29,24,29,5,29,20,29,6,29,12,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,18,10663566.79,3981251.089,N/A,N/A
1216,46254,5/28/2023,15:00:38,5/28/2023,3:00:38 PM,Collar,5/31/2023,7:51:13 AM,-2676446,-4421774,3724947,35.9620407,-121.1860093,278.68,1.2,val. GPS-3D,,8,15,35,13,29,6,29,30,29,24,29,17,29,14,29,12,29,0,0,0,0,0,0,0,0,,,3.36,3.64,14,10663577.53,3981259.169,N/A,N/A
1215,46254,5/28/2023,12:00:35,5/28/2023,12:00:35 PM,Collar,5/31/2023,7:51:13 AM,-2676452,-4421775,3724931,35.961903,-121.1860605,272.49,1,val. GPS-3D,,11,5,38,9,29,30,29,14,29,13,29,8,29,21,29,20,29,2,29,17,29,7,29,0,0,,,3.36,3.64,15,10663573.2,3981243.811,N/A,N/A
1214,46254,5/28/2023,9:00:38,5/28/2023,9:00:38 AM,Collar,5/31/2023,7:51:13 AM,-2676468,-4421792,3724944,35.961877,-121.1861147,298.61,1.2,val. GPS-3D,,8,27,29,7,29,3,35,30,29,8,29,9,29,16,29,4,29,0,0,0,0,0,0,0,0,,,3.36,3.64,17,10663568.37,3981240.837,N/A,N/A
1213,46254,5/28/2023,6:00:45,5/28/2023,6:00:45 AM,Collar,5/31/2023,7:51:13 AM,-2676443,-4421800,3724926,35.961778,-121.1858317,283.1,1.2,val. GPS-3D,,7,1,35,21,32,4,29,2,29,32,29,9,29,28,29,0,0,0,0,0,0,0,0,0,0,,,3.36,3.64,20,10663594.1,3981230.329,N/A,N/A
1212,46254,5/28/2023,3:00:29,5/28/2023,3:00:29 AM,Collar,5/31/2023,7:51:13 AM,-2676496,-4421838,3724941,35.9615702,-121.1861161,340.43,1,val. GPS-3D,,10,2,29,21,29,28,29,8,29,27,29,23,29,31,29,1,29,10,29,32,29,0,0,0,0,,,3.38,3.64,22,10663568.87,3981206.792,N/A,N/A
