pig_id,date,day,month,year,location,method,type,habitat,drugged,drug_administered,reversal_administered,collar_id,Collar Frequency,ear_tag_L_color,ear_tag_L_number,ear_tag_R_color,ear_tag_R_number,vhf_eartag_ear,vhf_eartag_freq,age_class,nursing/pregnant,current/past,est_weight,hair_taken,blood,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FA07,12/20/2021,20,12,2021,TA22,Jager,initial,Riparian,no,NA,NA,20147,,yellow,1216,pink,1204,no,NA,A,Y,current,200,Y,Y,
FA08,12/20/2021,20,12,2021,TA22,Jager,initial,Riparian,no,NA,NA,33347,,yellow,1221,blue,1612,no,NA,A,Y,current,180,Y,N,
FA11,1/26/2023,26,1,2023,stonyres,Corral,initial,Riparian,no,NA,NA,33352,164.0795,pink,1202,blue,1609,no,NA,A,N,NA,180,N,N,
MA03,1/27/2023,27,1,2023,peanut,Corral,initial,OakSav,no,NA,NA,46254,164.0495,yellow,1207,pink,1201,no,NA,A,NA,NA,180,N,N,
FA03,3/5/2021,5,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,46255,,NA,NA,yellow,1244,no,NA,A,Y,past,165,Y,N,
FA10,1/26/2023,26,1,2023,stonyres,Corral,initial,Riparian,no,NA,NA,33349,164.1786,blue,1616,pink,1206,no,NA,A,Y,past,160,N,N,
FA01,2/23/2021,23,2,2021,peanut,Jager,initial,OakSav,yes,telezol/xylazine,tolazoline,20149,,blue,1605,blue,drug,no,NA,A,Y,current,150,Y,N,
MA02,12/20/2021,20,12,2021,TA22,Jager,initial,Riparian,no,NA,NA,33351,,pink,1219,blue,1614,no,NA,A,NA,NA,150,Y,N,
MA04,1/27/2023,27,1,2023,peanut,Corral,initial,OakSav,no,NA,NA,33354,164.0194,NA,NA,pink,1231,no,NA,A,NA,NA,150,N,N,
FA04,3/31/2021,31,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,26215,,yellow,1413,NA,NA,no,NA,A,Y,current,125,Y,N,
MA01,2/23/2021,23,2,2021,peanut,Jager,initial,OakSav,yes,telezol/xylazine,tolazoline,33356,,yellow,1401,blue,drug,no,NA,A,NA,NA,120,Y,N,
FA02,2/23/2021,23,2,2021,stonyres,Jager,initial,OakWood,no,NA,NA,20150,,yellow,1407,NA,NA,no,NA,A,Y,current,120,Y,N,
FA05,3/31/2021,31,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,20147,,yellow,1446,NA,NA,no,NA,A,N,NA,120,N,Y,
FA06,3/31/2021,31,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,33358,,yellow,1377,NA,NA,no,NA,A,Unk,NA,115,Y,N,
FA09,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,26212,,pink,1219,yellow,1213,no,NA,A,Y,past,115,Y,Y,
FA06,4/15/2022,15,4,2022,TA22,Jager,recapture,Riparian,no,NA,NA,33353,,yellow,1377,blue,1622,no,NA,A,Y,past,105,Y,N,
FS09,1/27/2023,27,1,2023,peanut,Corral,initial,OakSav,no,NA,NA,NA,N,yellow,1218,NA,NA,yes,163.056,S,N,NA,100,N,N,
FS10,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,46254,164.0493,blue,1610,yellow,,yes,163.6996,S,Y,current,100,N,N,"collar will likely slip, did not place tight because expect to grow"
FS11,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,33349,164.1786,pink,1232,yellow,1429,yes,163.301,S,Y,current,100,N,N,"collar will likely slip, did not place tight because expect to grow"
MS09,6/2/2023,2,6,2023,TA22,Corral,recapture,Riparian,no,NA,NA,33346,164.2497,yellow,1447,yellow,1431,yes,165.8158,S,NA,NA,100,N,N,Initially captured and ear tagged in April 2022 as a juvenile MJ23
FS04,3/31/2021,31,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,33348,,yellow,1211,NA,NA,no,NA,S,N,NA,95,Y,N,
MS01,2/23/2021,23,2,2021,peanut,Jager,initial,OakSav,no,NA,NA,NA,,NA,NA,NA,NA,yes,163.861,S,NA,NA,90,Y,N,
FS01,2/23/2021,23,2,2021,stonyres,Jager,initial,OakWood,no,NA,NA,NA,,yellow,NA,NA,NA,yes,165.994,S,N,NA,90,N,N,
FS08,1/26/2023,26,1,2023,stonyres,Corral,initial,Riparian,no,NA,NA,NA,,NA,NA,blue,1618,yes,163.8985,S,N,NA,80,N,N,
MS04,3/5/2021,5,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,NA,,yellow,NA,yellow,1606,yes,163.8978,S,NA,NA,75,Y,N,
MS07,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,blue,1604,yes,163.1975,S,NA,NA,75,Y,N,
FS05,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1417,yes,163.861,S,NA,NA,75,Y,N,
MS02,3/5/2021,5,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,NA,,yellow,NA,yellow,1214,yes,163.6592,S,NA,NA,65,Y,N,
MS05,3/31/2021,31,3,2021,riverrd,Jager,initial,OakWood,no,NA,NA,NA,,yellow,1382,yellow,NA,yes,163.4192,S,NA,NA,65,Y,N,
